date,time_id,start_time,end_time,region_from,region_to,v0_num_traj,v10_num_traj,v20_num_traj,v30_num_traj,v40_num_traj,v50_num_traj,v60_num_traj
2013/3/4,6,300,360,44,24,3,3,3,3,0,0,0
2013/3/4,6,300,360,44,29,3,3,3,3,0,0,0
2013/3/4,6,300,360,44,33,3,3,3,3,0,0,0
2013/3/4,6,300,360,47,18,1,1,1,0,0,0,0
2013/3/4,6,300,360,47,19,1,1,1,1,0,0,0
2013/3/4,6,300,360,47,21,1,1,1,0,0,0,0
2013/3/4,6,300,360,47,29,1,1,1,1,0,0,0
2013/3/4,6,300,360,47,33,1,1,1,0,0,0,0
2013/3/4,6,300,360,47,75,1,1,1,0,0,0,0
2013/3/4,6,300,360,47,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,48,1,4,4,4,4,4,0,0
2013/3/4,6,300,360,48,2,8,8,8,8,8,8,0
2013/3/4,6,300,360,48,4,8,8,8,8,8,8,0
2013/3/4,6,300,360,48,5,5,5,5,5,5,0,0
2013/3/4,6,300,360,48,15,10,10,10,10,10,10,0
2013/3/4,6,300,360,48,16,8,8,8,8,8,8,0
2013/3/4,6,300,360,48,20,12,12,12,12,12,0,0
2013/3/4,6,300,360,48,27,10,10,10,10,10,10,0
2013/3/4,6,300,360,49,82,1,1,1,1,0,0,0
2013/3/4,6,300,360,49,87,1,1,1,1,0,0,0
2013/3/4,6,300,360,50,1,1,1,1,0,0,0,0
2013/3/4,6,300,360,50,2,3,3,3,0,0,0,0
2013/3/4,6,300,360,50,3,1,1,1,0,0,0,0
2013/3/4,6,300,360,50,4,3,3,3,0,0,0,0
2013/3/4,6,300,360,50,5,2,2,2,0,0,0,0
2013/3/4,6,300,360,50,8,6,6,6,0,0,0,0
2013/3/4,6,300,360,50,16,3,3,3,0,0,0,0
2013/3/4,6,300,360,50,36,5,5,5,0,0,0,0
2013/3/4,6,300,360,51,20,2,2,2,0,0,0,0
2013/3/4,6,300,360,51,48,3,3,3,0,0,0,0
2013/3/4,6,300,360,52,13,1,1,1,0,0,0,0
2013/3/4,6,300,360,54,45,1,1,1,1,0,0,0
2013/3/4,6,300,360,55,1,1,1,0,0,0,0,0
2013/3/4,6,300,360,55,6,1,1,0,0,0,0,0
2013/3/4,6,300,360,55,13,1,1,0,0,0,0,0
2013/3/4,6,300,360,55,38,1,1,0,0,0,0,0
2013/3/4,6,300,360,56,19,1,1,1,1,0,0,0
2013/3/4,6,300,360,56,24,2,2,2,2,0,0,0
2013/3/4,6,300,360,56,33,1,1,1,1,0,0,0
2013/3/4,6,300,360,56,37,2,2,2,0,0,0,0
2013/3/4,6,300,360,58,2,1,1,1,0,0,0,0
2013/3/4,6,300,360,58,4,1,1,1,0,0,0,0
2013/3/4,6,300,360,58,8,2,2,2,0,0,0,0
2013/3/4,6,300,360,58,16,1,1,1,0,0,0,0
2013/3/4,6,300,360,58,36,1,1,1,0,0,0,0
2013/3/4,6,300,360,58,50,1,1,1,0,0,0,0
2013/3/4,6,300,360,62,24,1,1,1,0,0,0,0
2013/3/4,6,300,360,62,37,1,1,1,0,0,0,0
2013/3/4,6,300,360,62,56,1,1,1,1,0,0,0
2013/3/4,6,300,360,66,71,1,1,1,1,0,0,0
2013/3/4,6,300,360,72,36,2,2,2,2,0,0,0
2013/3/4,6,300,360,72,82,2,2,2,2,2,0,0
2013/3/4,6,300,360,73,20,1,1,1,0,0,0,0
2013/3/4,6,300,360,73,42,2,2,2,2,0,0,0
2013/3/4,6,300,360,73,48,1,1,1,0,0,0,0
2013/3/4,6,300,360,73,51,2,2,2,2,0,0,0
2013/3/4,6,300,360,74,18,1,1,1,0,0,0,0
2013/3/4,6,300,360,74,21,1,1,1,0,0,0,0
2013/3/4,6,300,360,74,33,1,1,1,0,0,0,0
2013/3/4,6,300,360,74,47,1,1,1,0,0,0,0
2013/3/4,6,300,360,74,75,1,1,1,0,0,0,0
2013/3/4,6,300,360,74,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,75,85,1,1,1,0,0,0,0
2013/3/4,6,300,360,77,76,3,3,3,3,0,0,0
2013/3/4,6,300,360,77,89,3,3,3,3,0,0,0
2013/3/4,6,300,360,79,42,1,1,1,1,0,0,0
2013/3/4,6,300,360,79,51,1,1,1,1,0,0,0
2013/3/4,6,300,360,79,73,1,1,1,1,1,0,0
2013/3/4,6,300,360,87,82,1,1,1,1,0,0,0
2013/3/4,6,300,360,89,76,4,4,4,4,4,0,0
2013/3/4,6,300,360,94,45,1,1,1,0,0,0,0
2013/3/4,6,300,360,99,42,1,1,1,1,1,0,0
2013/3/4,6,300,360,99,51,1,1,1,1,0,0,0
2013/3/4,6,300,360,99,73,1,1,1,1,1,0,0
2013/3/4,6,300,360,99,79,1,1,1,1,1,0,0
2013/3/4,7,360,420,1,2,4,4,0,0,0,0,0
2013/3/4,7,360,420,1,3,14,14,14,0,0,0,0
2013/3/4,7,360,420,1,4,3,3,3,0,0,0,0
2013/3/4,7,360,420,1,5,22,22,22,0,0,0,0
2013/3/4,7,360,420,1,6,7,7,7,7,0,0,0
2013/3/4,7,360,420,1,7,3,3,3,0,0,0,0
2013/3/4,7,360,420,1,8,2,2,2,0,0,0,0
2013/3/4,7,360,420,1,9,4,4,4,0,0,0,0
2013/3/4,7,360,420,1,10,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,11,3,3,3,0,0,0,0
2013/3/4,7,360,420,1,14,2,2,2,0,0,0,0
2013/3/4,7,360,420,1,15,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,16,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,18,3,3,3,0,0,0,0
2013/3/4,7,360,420,1,19,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,24,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,25,1,1,0,0,0,0,0
2013/3/4,7,360,420,1,29,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,31,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,32,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,33,2,2,2,0,0,0,0
2013/3/4,7,360,420,1,37,1,1,1,0,0,0,0
2013/3/4,7,360,420,1,39,1,1,1,0,0,0,0
2013/3/4,7,360,420,2,1,91,91,91,0,0,0,0
2013/3/4,7,360,420,2,3,20,20,20,0,0,0,0
2013/3/4,7,360,420,2,4,5,5,5,0,0,0,0
2013/3/4,7,360,420,2,5,113,113,113,0,0,0,0
